id,idi,speech_part
310,354,'verb_transitive_terminative'
311,393,'verb_intransitive_imperfective'
312,373,'verb_intransitive_imperfective'
313,320,'verb_transitive_terminative'
314,378,'verb_transitive_terminative'
315,382,'verb_transitive_terminative'
316,259,'verb_intransitive_imperfective'
317,442,'verb_intransitive_imperfective'
318,296,'verb_transitive_terminative'
319,414,'verb_transitive_terminative'
320,256,'verb_transitive_terminative'
321,297,'verb_intransitive_terminative'
322,324,'verb_transitive_terminative'
323,246,'verb_transitive_imperfective'
324,387,'verb_intransitive_terminative'
325,374,'verb_transitive_terminative'
326,292,'verb_transitive_terminative'
327,233,'verb_transitive_terminative'
328,250,'verb_transitive_imperfective'
329,238,'verb_intransitive_terminative'
330,284,'verb_transitive_terminative'
331,244,'verb_transitive_terminative'
332,386,'verb_transitive_terminative'
333,276,'verb_transitive_terminative'
334,355,'verb_intransitive_terminative'
335,245,'verb_intransitive_terminative'
336,330,'verb_transitive_terminative'
337,407,'verb_intransitive_terminative'
338,301,'verb_intransitive_terminative'
339,305,'verb_intransitive_terminative'
340,280,'verb_transitive_terminative'
341,308,'verb_transitive_terminative'
342,299,'verb_intransitive_imperfective'
343,319,'verb_intransitive_imperfective'
344,372,'verb_transitive_imperfective'
345,388,'verb_transitive_imperfective'
346,371,'verb_intransitive_terminative'
347,342,'verb_transitive_terminative'
348,300,'verb_transitive_terminative'
349,309,'verb_intransitive_terminative'
350,323,'verb_intransitive_imperfective'
351,390,'verb_transitive_terminative'
352,338,'verb_transitive_terminative'
353,434,'verb_transitive_terminative'
354,426,'verb_transitive_terminative'
355,366,'verb_transitive_terminative'
356,277,'verb_intransitive_terminative'
357,272,'verb_transitive_terminative'
358,411,'verb_intransitive_terminative'
359,398,'verb_transitive_terminative'
360,443,'verb_transitive_terminative'
361,391,'verb_intransitive_terminative'
362,271,'verb_intransitive_imperfective'
363,397,'verb_intransitive_imperfective'
364,400,'verb_transitive_imperfective'
365,265,'verb_intransitive_terminative'
366,422,'verb_transitive_terminative'
367,343,'verb_intransitive_terminative'
368,281,'verb_intransitive_terminative'
369,395,'verb_intransitive_terminative'
370,444,'verb_intransitive_terminative'
371,321,'verb_intransitive_terminative'
372,273,'verb_intransitive_terminative'
373,406,'verb_transitive_terminative'
374,402,'verb_transitive_terminative'
375,350,'verb_transitive_terminative'
376,375,'verb_intransitive_terminative'
377,257,'verb_intransitive_terminative'
378,288,'verb_transitive_terminative'
379,293,'verb_intransitive_terminative'
380,234,'verb_intransitive_terminative'
381,430,'verb_intransitive_terminative'
382,363,'verb_intransitive_terminative'
383,339,'verb_intransitive_terminative'
384,310,'verb_transitive_imperfective'
385,314,'verb_transitive_imperfective'
386,251,'verb_intransitive_imperfective'
387,347,'verb_intransitive_terminative'
388,325,'verb_intransitive_terminative'
389,275,'verb_intransitive_imperfective'
390,269,'verb_intransitive_terminative'
391,379,'verb_intransitive_terminative'
392,255,'verb_intransitive_imperfective'
393,417,'verb_intransitive_imperfective'
394,428,'verb_intransitive_imperfective'
395,361,'verb_intransitive_imperfective'
396,376,'verb_transitive_imperfective'
397,243,'verb_intransitive_imperfective'
398,NULL,'other'
399,NULL,'prefix'
400,NULL,'suffix'
401,NULL,'abbreviation'
